,date,province,confirmed,cured,dead,nowc
526,2020-02-04,江苏省,341,13,0,328
527,2020-02-04,浙江省,895,63,0,832
528,2020-02-04,安徽省,530,20,0,510
529,2020-02-04,福建省,205,7,0,198
530,2020-02-04,江西省,548,27,0,521
531,2020-02-04,山东省,298,13,0,285
532,2020-02-04,河南省,764,41,2,721
533,2020-02-04,湖北省,16678,520,479,15679
534,2020-02-04,湖南省,661,35,0,626
535,2020-02-04,广东省,870,32,0,838
536,2020-02-04,广西壮族自治区,150,10,0,140
537,2020-02-04,海南省,89,4,1,84
538,2020-02-04,重庆市,366,14,2,350
539,2020-02-04,四川省,301,23,1,277
540,2020-02-04,贵州省,64,5,0,59
541,2020-02-04,云南省,122,5,0,117
542,2020-02-04,西藏自治区,1,0,0,1
543,2020-02-04,陕西省,165,2,0,163
544,2020-02-04,甘肃省,57,4,0,53
545,2020-02-04,青海省,17,0,0,17
546,2020-02-04,宁夏回族自治区,34,0,0,34
547,2020-02-04,新疆维吾尔自治区,32,0,0,32
548,2020-02-04,台湾省,11,0,0,11
549,2020-02-04,香港特别行政区,18,0,1,17
550,2020-02-04,澳门特别行政区,10,0,0,10
551,2020-02-05,北京市,274,31,1,242
552,2020-02-05,天津市,69,2,1,66
553,2020-02-05,河北省,157,7,1,149
554,2020-02-05,山西省,90,6,0,84
555,2020-02-05,内蒙古自治区,46,4,0,42
556,2020-02-05,辽宁省,89,4,0,85
557,2020-02-05,吉林省,59,2,0,57
558,2020-02-05,黑龙江省,227,7,3,217
559,2020-02-05,上海市,254,15,1,238
560,2020-02-05,江苏省,373,26,0,347
561,2020-02-05,浙江省,954,81,0,873
562,2020-02-05,安徽省,591,23,0,568
563,2020-02-05,福建省,215,11,0,204
564,2020-02-05,江西省,600,37,0,563
565,2020-02-05,山东省,343,18,0,325
566,2020-02-05,河南省,851,54,2,795
567,2020-02-05,湖北省,19665,633,549,18483
568,2020-02-05,湖南省,711,56,0,655
569,2020-02-05,广东省,944,49,0,895
570,2020-02-05,广西壮族自治区,168,14,0,154
571,2020-02-05,海南省,100,5,1,94
572,2020-02-05,重庆市,389,15,2,372
573,2020-02-05,四川省,321,27,1,293
574,2020-02-05,贵州省,69,6,0,63
575,2020-02-05,云南省,128,5,0,123
576,2020-02-05,西藏自治区,1,0,0,1
577,2020-02-05,陕西省,173,6,0,167
578,2020-02-05,甘肃省,62,6,0,56
579,2020-02-05,青海省,18,3,0,15
580,2020-02-05,宁夏回族自治区,40,1,0,39
581,2020-02-05,新疆维吾尔自治区,36,0,0,36
582,2020-02-05,台湾省,11,0,0,11
583,2020-02-05,香港特别行政区,21,0,1,20
584,2020-02-05,澳门特别行政区,10,0,0,10
585,2020-02-06,北京市,297,33,1,263
586,2020-02-06,天津市,79,2,0,77
587,2020-02-06,河北省,171,16,1,154
588,2020-02-06,山西省,96,12,0,84
589,2020-02-06,内蒙古自治区,50,0,0,50
590,2020-02-06,辽宁省,95,6,0,89
591,2020-02-06,吉林省,65,4,1,60
592,2020-02-06,黑龙江省,277,8,3,266
593,2020-02-06,上海市,269,25,1,243
594,2020-02-06,江苏省,408,38,0,370
595,2020-02-06,浙江省,1006,98,0,908
596,2020-02-06,安徽省,665,34,0,631
597,2020-02-06,福建省,224,15,0,209
598,2020-02-06,江西省,661,45,0,616
599,2020-02-06,山东省,379,31,0,348
600,2020-02-06,河南省,914,68,3,843
601,2020-02-06,湖北省,22112,817,618,20677
602,2020-02-06,湖南省,772,91,0,681
603,2020-02-06,广东省,1018,68,0,950
604,2020-02-06,广西壮族自治区,172,17,0,155
605,2020-02-06,海南省,111,8,2,101
606,2020-02-06,重庆市,411,24,2,385
607,2020-02-06,四川省,344,37,1,306
608,2020-02-06,贵州省,77,6,0,71
609,2020-02-06,云南省,135,7,0,128
610,2020-02-06,西藏自治区,1,0,0,1
611,2020-02-06,陕西省,184,11,0,173
612,2020-02-06,甘肃省,67,9,0,58
613,2020-02-06,青海省,18,3,0,15
614,2020-02-06,宁夏回族自治区,43,1,0,42
615,2020-02-06,新疆维吾尔自治区,39,0,0,39
616,2020-02-06,台湾省,16,0,1,15
